"placa;fecha;hora;ingreso;;;;;;;;"
"SFB 218;06/03/2017;04:14:13;E;;;;;;;;"
"INZ 510;06/03/2017;04:18:41;S;;;;;;;;"
"ACB 078;06/03/2017;04:28:39;E;;;;;;;;"
"ZET 154;06/03/2017;04:32:35;E;;;;;;;;"
"ZJO 333;06/03/2017;04:38:22;S;;;;;;;;"
"VUC 955;06/03/2017;04:43:41;S;;;;;;;;"
"GGL 352;06/03/2017;04:58:42;E;;;;;;;;"
"PVN 139;06/03/2017;04:59:34;E;;;;;;;;"
"EOO 349;06/03/2017;05:05:10;E;;;;;;;;"
"SEW 411;06/03/2017;05:09:11;E;;;;;;;;"
"SKD 239;06/03/2017;05:11:03;S;;;;;;;;"
"WHY 367;06/03/2017;05:12:16;S;;;;;;;;"
"WCY 723;06/03/2017;05:15:24;E;;;;;;;;"
"WTY 194;06/03/2017;05:15:54;S;;;;;;;;"
"NZS 572;06/03/2017;05:20:44;E;;;;;;;;"
"BCG 907;06/03/2017;05:22:47;E;;;;;;;;"
"KAH 501;06/03/2017;05:25:18;S;;;;;;;;"
"WOF 111;06/03/2017;05:27:07;S;;;;;;;;"
"RSD 123;06/03/2017;05:36:11;S;;;;;;;;"
"YJV 935;06/03/2017;05:46:53;E;;;;;;;;"
"JPF 297;06/03/2017;05:47:06;E;;;;;;;;"
"MZY 077;06/03/2017;05:47:41;S;;;;;;;;"
"IAU 322;06/03/2017;05:49:23;E;;;;;;;;"
"EDK 148;06/03/2017;06:02:00;E;;;;;;;;"
"ZZV 916;06/03/2017;06:11:15;S;;;;;;;;"
"EPV 185;06/03/2017;06:12:55;E;;;;;;;;"
"KEM 227;06/03/2017;06:18:02;E;;;;;;;;"
"FES 616;06/03/2017;06:18:15;S;;;;;;;;"
"LDW 517;06/03/2017;06:29:18;S;;;;;;;;"
"IAT 728;06/03/2017;06:33:47;S;;;;;;;;"
"GKN 574;06/03/2017;06:35:24;E;;;;;;;;"
"KDC 575;06/03/2017;06:48:10;S;;;;;;;;"
"PRO 190;06/03/2017;06:50:55;E;;;;;;;;"
"ECT 820;06/03/2017;07:03:34;E;;;;;;;;"
"SVJ 548;06/03/2017;07:19:46;S;;;;;;;;"
"XFZ 631;06/03/2017;07:20:23;S;;;;;;;;"
"AGU 591;06/03/2017;07:29:09;E;;;;;;;;"
"GES 145;06/03/2017;07:29:30;E;;;;;;;;"
"IDJ 384;06/03/2017;07:30:07;E;;;;;;;;"
"SHG 940;06/03/2017;07:34:28;E;;;;;;;;"
"TSY 306;06/03/2017;07:36:56;S;;;;;;;;"
"MHV 871;06/03/2017;07:39:48;S;;;;;;;;"
"MHV 871;06/03/2017;07:44:40;E;;;;;;;;"
"HHR 417;06/03/2017;07:46:05;E;;;;;;;;"
"ZYR 828;06/03/2017;07:57:03;S;;;;;;;;"
"ZEL 068;06/03/2017;07:57:14;S;;;;;;;;"
"GJQ 137;06/03/2017;08:00:31;E;;;;;;;;"
"CIQ 694;06/03/2017;08:05:08;E;;;;;;;;"
"LHN 233;06/03/2017;08:05:24;E;;;;;;;;"
"QMK 226;06/03/2017;08:07:11;S;;;;;;;;"
"PPH 509;06/03/2017;08:07:17;S;;;;;;;;"
"LDR 081;06/03/2017;08:11:18;E;;;;;;;;"
"NPS 183;06/03/2017;08:14:54;S;;;;;;;;"
"DTE 315;06/03/2017;08:18:09;S;;;;;;;;"
"LKZ 123;06/03/2017;08:22:57;E;;;;;;;;"
"IPG 123;06/03/2017;08:26:39;E;;;;;;;;"
"XAA 808;06/03/2017;08:31:02;E;;;;;;;;"
"NOS 176;06/03/2017;08:33:31;S;;;;;;;;"
"TYW 307;06/03/2017;08:44:04;E;;;;;;;;"
"LFW 209;06/03/2017;08:50:28;E;;;;;;;;"
"BYK 435;06/03/2017;09:00:45;S;;;;;;;;"
"XAA 808;06/03/2017;09:01:00;S;;;;;;;;"
"XYR 578;06/03/2017;09:04:19;S;;;;;;;;"
"OJP 652;06/03/2017;09:04:55;E;;;;;;;;"
"PUM 000;06/03/2017;09:20:24;E;;;;;;;;"
"TXP 605;06/03/2017;09:20:41;E;;;;;;;;"
"VZS 187;06/03/2017;09:21:38;E;;;;;;;;"
"IJH 601;06/03/2017;09:26:13;E;;;;;;;;"
"NXX 620;06/03/2017;09:29:14;E;;;;;;;;"
"AJI 572;06/03/2017;09:36:15;E;;;;;;;;"
"TIA 999;06/03/2017;09:43:17;E;;;;;;;;"
"QFF 087;06/03/2017;09:43:19;S;;;;;;;;"
"BDT 017;06/03/2017;09:53:49;E;;;;;;;;"
"SLY 325;06/03/2017;09:54:15;S;;;;;;;;"
"AGU 591;06/03/2017;09:57:52;S;;;;;;;;"
"LFW 209;06/03/2017;09:59:52;S;;;;;;;;"
"QJY 907;06/03/2017;10:06:01;E;;;;;;;;"
"HDL 607;06/03/2017;10:16:08;E;;;;;;;;"
"DHY 286;06/03/2017;10:17:13;E;;;;;;;;"
"DND 097;06/03/2017;10:18:02;E;;;;;;;;"
"IPS 831;06/03/2017;10:35:53;S;;;;;;;;"
"DHY 286;06/03/2017;10:37:47;S;;;;;;;;"
"YXJ 408;06/03/2017;10:38:12;S;;;;;;;;"
"WRR 550;06/03/2017;10:56:04;S;;;;;;;;"
"MLV 491;06/03/2017;11:20:07;E;;;;;;;;"
"OTX 623;06/03/2017;11:31:02;E;;;;;;;;"
"VWE 470;06/03/2017;11:42:56;S;;;;;;;;"
"TUY 450;06/03/2017;11:53:54;E;;;;;;;;"
"PBR 342;06/03/2017;12:00:08;E;;;;;;;;"
"MUZ 331;06/03/2017;12:07:41;S;;;;;;;;"
"ENS 290;06/03/2017;12:11:42;E;;;;;;;;"
"PYO 470;06/03/2017;12:12:28;S;;;;;;;;"
"GMG 355;06/03/2017;12:23:27;E;;;;;;;;"
"LKZ 123;06/03/2017;12:23:58;E;;;;;;;;"
"FMX 189;06/03/2017;12:54:18;E;;;;;;;;"
"TNS 662;06/03/2017;12:58:15;E;;;;;;;;"
"YSI 198;06/03/2017;13:01:33;E;;;;;;;;"
"XSQ 105;06/03/2017;13:07:28;S;;;;;;;;"
"WTY 194;06/03/2017;13:14:33;E;;;;;;;;"
"YHG 964;06/03/2017;13:15:30;E;;;;;;;;"
"KZM 168;06/03/2017;13:16:13;E;;;;;;;;"
"DCB 088;06/03/2017;13:20:33;S;;;;;;;;"
"TRN 591;06/03/2017;13:21:13;E;;;;;;;;"
"LTK 016;06/03/2017;13:31:56;E;;;;;;;;"
"QXB 563;06/03/2017;13:33:51;S;;;;;;;;"
"WEX 387;06/03/2017;13:35:17;E;;;;;;;;"
"QQO 656;06/03/2017;13:42:12;E;;;;;;;;"
"ZVF 000;06/03/2017;13:45:53;E;;;;;;;;"
"NYG 768;06/03/2017;13:47:29;S;;;;;;;;"
"GVM 536;06/03/2017;13:50:12;S;;;;;;;;"
"BYK 435;06/03/2017;13:53:25;S;;;;;;;;"
"QJY 907;06/03/2017;13:58:37;S;;;;;;;;"
"GDD 151;06/03/2017;13:59:26;S;;;;;;;;"
"PUM 000;06/03/2017;13:59:58;S;;;;;;;;"
"PBH 815;06/03/2017;14:00:55;E;;;;;;;;"
"KIZ 561;06/03/2017;14:04:03;E;;;;;;;;"
"FQK 830;06/03/2017;14:07:34;E;;;;;;;;"
"LDW 517;06/03/2017;14:10:07;E;;;;;;;;"
"WSG 589;06/03/2017;14:15:34;E;;;;;;;;"
"CRZ 024;06/03/2017;14:19:03;S;;;;;;;;"
"NPK 999;06/03/2017;14:26:01;E;;;;;;;;"
"JGM 363;06/03/2017;14:29:48;E;;;;;;;;"
"TNS 662;06/03/2017;14:31:13;S;;;;;;;;"
"AKA 426;06/03/2017;14:32:03;E;;;;;;;;"
"HDL 607;06/03/2017;14:42:48;S;;;;;;;;"
"NLM 248;06/03/2017;14:43:13;E;;;;;;;;"
"QMK 226;06/03/2017;14:49:41;E;;;;;;;;"
"HHR 417;06/03/2017;14:52:51;S;;;;;;;;"
"XRM 991;06/03/2017;15:09:49;E;;;;;;;;"
"XFT 571;06/03/2017;15:16:38;E;;;;;;;;"
"WGR 671;06/03/2017;15:17:19;E;;;;;;;;"
"HAX 067;06/03/2017;15:18:46;E;;;;;;;;"
"APD 222;06/03/2017;15:20:10;E;;;;;;;;"
"IMT 959;06/03/2017;15:22:08;S;;;;;;;;"
"LDR 081;06/03/2017;15:25:04;S;;;;;;;;"
"WJV 029;06/03/2017;15:30:02;S;;;;;;;;"
"OJD 168;06/03/2017;15:32:27;S;;;;;;;;"
"HJQ 214;06/03/2017;15:34:19;S;;;;;;;;"
"BVY 652;06/03/2017;15:43:02;S;;;;;;;;"
"WSG 589;06/03/2017;15:54:18;E;;;;;;;;"
"FFS 152;06/03/2017;15:55:55;S;;;;;;;;"
"IAR 629;06/03/2017;15:59:52;S;;;;;;;;"
"ZHW 957;06/03/2017;16:00:56;E;;;;;;;;"
"FDH 940;06/03/2017;16:04:00;E;;;;;;;;"
"AQM 623;06/03/2017;16:05:00;S;;;;;;;;"
"BON 514;06/03/2017;16:07:34;E;;;;;;;;"
"INZ 510;06/03/2017;16:10:40;E;;;;;;;;"
"KWW 181;06/03/2017;16:20:50;S;;;;;;;;"
"IXN 833;06/03/2017;16:36:39;E;;;;;;;;"
"HQR 743;06/03/2017;16:39:19;S;;;;;;;;"
"FOZ 285;06/03/2017;16:40:09;E;;;;;;;;"
"OBJ 570;06/03/2017;16:42:00;S;;;;;;;;"
"OCD 071;06/03/2017;16:42:56;S;;;;;;;;"
"SFB 218;06/03/2017;16:47:36;S;;;;;;;;"
"QGY 356;06/03/2017;16:48:04;S;;;;;;;;"
"NPS 183;06/03/2017;16:54:24;E;;;;;;;;"
"ZHW 957;06/03/2017;16:56:04;S;;;;;;;;"
"JKY 704;06/03/2017;17:02:33;E;;;;;;;;"
"MGP 737;06/03/2017;17:09:25;S;;;;;;;;"
"THY 951;06/03/2017;17:10:05;E;;;;;;;;"
"TRN 591;06/03/2017;17:15:03;S;;;;;;;;"
"HFI 362;06/03/2017;17:17:45;S;;;;;;;;"
"HXP 178;06/03/2017;17:22:23;E;;;;;;;;"
"UEQ 112;06/03/2017;17:22:27;S;;;;;;;;"
"JXO 935;06/03/2017;17:25:09;E;;;;;;;;"
"JPF 297;06/03/2017;17:27:52;S;;;;;;;;"
"XYR 578;06/03/2017;17:32:22;E;;;;;;;;"
"WTI 255;06/03/2017;17:33:30;E;;;;;;;;"
"ADC 800;06/03/2017;17:41:53;E;;;;;;;;"
"XQM 891;06/03/2017;17:43:59;S;;;;;;;;"
"PBH 815;06/03/2017;17:45:18;S;;;;;;;;"
"CDQ 206;06/03/2017;17:59:54;S;;;;;;;;"
"TXV 782;06/03/2017;18:01:11;E;;;;;;;;"
"ZYR 828;06/03/2017;18:18:35;E;;;;;;;;"
"ERX 655;06/03/2017;18:23:44;E;;;;;;;;"
"XPC 742;06/03/2017;18:25:31;E;;;;;;;;"
"LFW 209;06/03/2017;18:33:36;S;;;;;;;;"
"NZS 572;06/03/2017;18:35:15;S;;;;;;;;"
"EYD 558;06/03/2017;18:41:08;E;;;;;;;;"
"QFA 664;06/03/2017;19:02:25;S;;;;;;;;"
"BAO 702;06/03/2017;19:11:10;E;;;;;;;;"
"EDK 148;06/03/2017;19:15:33;S;;;;;;;;"
"GGL 352;06/03/2017;19:17:02;E;;;;;;;;"
"NKA 586;06/03/2017;19:17:53;E;;;;;;;;"
"JLJ 070;06/03/2017;19:23:10;S;;;;;;;;"
"SHO 225;06/03/2017;19:26:23;E;;;;;;;;"
"PXX 722;06/03/2017;19:28:28;E;;;;;;;;"
"WSG 589;06/03/2017;19:29:10;S;;;;;;;;"
"NBZ 670;06/03/2017;19:32:31;E;;;;;;;;"
"BVY 652;06/03/2017;19:37:09;E;;;;;;;;"
"KOI 433;06/03/2017;19:42:15;E;;;;;;;;"
"KHB 040;06/03/2017;19:47:18;S;;;;;;;;"
"WUL 756;06/03/2017;19:56:28;E;;;;;;;;"
"OJP 652;06/03/2017;19:57:13;S;;;;;;;;"
"SHO 225;06/03/2017;19:57:59;S;;;;;;;;"
"IZS 220;06/03/2017;20:02:25;E;;;;;;;;"
"GEU 335;06/03/2017;20:15:31;S;;;;;;;;"
"KKB 465;06/03/2017;20:16:53;S;;;;;;;;"
"SHG 940;06/03/2017;20:19:38;S;;;;;;;;"
"KHM 342;06/03/2017;20:21:10;E;;;;;;;;"
"JRB 174;06/03/2017;20:26:01;E;;;;;;;;"
"DND 097;06/03/2017;20:32:05;S;;;;;;;;"
"TJG 663;06/03/2017;20:33:54;E;;;;;;;;"
"SSI 107;06/03/2017;20:34:01;E;;;;;;;;"
"TNS 662;06/03/2017;20:39:50;S;;;;;;;;"
"APD 222;06/03/2017;20:45:47;S;;;;;;;;"
"ACB 078;06/03/2017;20:49:58;S;;;;;;;;"
"TED 591;06/03/2017;20:52:03;E;;;;;;;;"
"GMG 355;06/03/2017;20:52:23;S;;;;;;;;"
"NPS 183;06/03/2017;21:00:36;S;;;;;;;;"
"CUV 742;06/03/2017;21:05:18;E;;;;;;;;"
"EUU 938;06/03/2017;21:07:28;E;;;;;;;;"
"KLL 245;06/03/2017;21:09:56;E;;;;;;;;"
"NWD 838;06/03/2017;21:16:53;S;;;;;;;;"
"DAQ 047;06/03/2017;21:18:05;E;;;;;;;;"
"XVD 384;06/03/2017;21:26:45;E;;;;;;;;"
"VKM 893;06/03/2017;21:26:54;S;;;;;;;;"
"JIG 644;06/03/2017;21:30:44;E;;;;;;;;"
"FQC 060;06/03/2017;21:34:05;E;;;;;;;;"
"TTT 037;06/03/2017;21:38:49;E;;;;;;;;"
"KRW 525;06/03/2017;21:39:09;S;;;;;;;;"
"HLV 835;06/03/2017;21:41:32;S;;;;;;;;"
"EOO 349;06/03/2017;21:42:41;S;;;;;;;;"
"LKZ 123;06/03/2017;21:48:37;S;;;;;;;;"
"IEJ 042;06/03/2017;21:50:45;E;;;;;;;;"
"FDH 940;06/03/2017;21:58:28;S;;;;;;;;"
"KHM 342;06/03/2017;22:03:45;S;;;;;;;;"
"TTT 037;06/03/2017;22:09:20;S;;;;;;;;"
"DAQ 047;06/03/2017;22:10:21;S;;;;;;;;"
"TOT 834;06/03/2017;22:11:45;S;;;;;;;;"
"NPS 183;06/03/2017;22:16:29;S;;;;;;;;"
"TOT 834;06/03/2017;22:24:23;S;;;;;;;;"
"LHN 233;06/03/2017;22:33:07;S;;;;;;;;"
"IAU 322;06/03/2017;22:45:25;S;;;;;;;;"
"AKA 426;06/03/2017;22:59:36;S;;;;;;;;"
"NXN 472;06/03/2017;23:04:49;E;;;;;;;;"
"EIW 298;06/03/2017;23:07:11;E;;;;;;;;"
"NLK 856;06/03/2017;23:15:55;S;;;;;;;;"
"IPG 123;06/03/2017;23:16:29;S;;;;;;;;"
"ZNQ 988;06/03/2017;23:24:47;E;;;;;;;;"
"TIA 999;06/03/2017;23:26:42;S;;;;;;;;"
"IMX 305;06/03/2017;23:36:26;E;;;;;;;;"
"EOX 619;06/03/2017;23:43:24;E;;;;;;;;"
"UEQ 112;06/03/2017;23:44:47;E;;;;;;;;"
"IZP 943;06/03/2017;23:48:34;S;;;;;;;;"
"OET 911;07/03/2017;00:00:55;E;;;;;;;;"
"NWD 971;07/03/2017;00:01:50;E;;;;;;;;"
"OCD 071;07/03/2017;00:13:02;E;;;;;;;;"
"ENJ 771;07/03/2017;00:21:02;E;;;;;;;;"
"XSM 354;07/03/2017;00:25:11;E;;;;;;;;"
"FQK 830;07/03/2017;00:25:18;S;;;;;;;;"
"PYO 470;07/03/2017;00:32:06;S;;;;;;;;"
"PEL 769;07/03/2017;00:49:32;E;;;;;;;;"
"PVN 139;07/03/2017;00:55:27;S;;;;;;;;"
"KRW 525;07/03/2017;01:00:35;E;;;;;;;;"
"WBV 417;07/03/2017;01:04:52;E;;;;;;;;"
"BAO 702;07/03/2017;01:10:45;E;;;;;;;;"
"DRG 856;07/03/2017;01:13:08;S;;;;;;;;"
"IMX 305;07/03/2017;01:17:23;S;;;;;;;;"
"VSK 574;07/03/2017;01:18:45;E;;;;;;;;"
"PLD 564;07/03/2017;01:35:59;E;;;;;;;;"
"TYT 696;07/03/2017;01:36:17;E;;;;;;;;"
"TED 591;07/03/2017;01:38:14;S;;;;;;;;"
"SEW 411;07/03/2017;01:49:50;S;;;;;;;;"
"TJG 663;07/03/2017;01:50:31;S;;;;;;;;"
"YHG 964;07/03/2017;01:55:56;S;;;;;;;;"
"OJP 652;07/03/2017;01:59:36;S;;;;;;;;"
"QRH 325;07/03/2017;02:05:41;S;;;;;;;;"
"NOS 498;07/03/2017;02:09:50;E;;;;;;;;"
"LKZ 123;07/03/2017;02:10:13;S;;;;;;;;"
"LWS 496;07/03/2017;02:14:45;S;;;;;;;;"
"THY 951;07/03/2017;02:16:47;S;;;;;;;;"
"WCY 006;07/03/2017;02:18:35;S;;;;;;;;"
"IFP 939;07/03/2017;02:20:37;E;;;;;;;;"
"BDT 017;07/03/2017;02:24:51;S;;;;;;;;"
"GKN 574;07/03/2017;02:27:38;E;;;;;;;;"
"SSI 107;07/03/2017;02:31:10;E;;;;;;;;"
"FFS 152;07/03/2017;02:34:03;E;;;;;;;;"
"PUL 406;07/03/2017;02:45:29;E;;;;;;;;"
"EPV 185;07/03/2017;02:47:03;S;;;;;;;;"
"QQO 656;07/03/2017;02:52:05;E;;;;;;;;"
"DTO 279;07/03/2017;02:55:42;E;;;;;;;;"
"EPV 185;07/03/2017;02:58:13;E;;;;;;;;"
"FTM 210;07/03/2017;02:59:28;E;;;;;;;;"
"VEI 590;07/03/2017;03:06:46;E;;;;;;;;"
"QFC 454;07/03/2017;03:10:14;S;;;;;;;;"
"HAX 067;07/03/2017;03:13:21;S;;;;;;;;"
"ZVF 000;07/03/2017;03:15:44;S;;;;;;;;"
"KZM 168;07/03/2017;03:16:45;E;;;;;;;;"
"LHR 261;07/03/2017;03:21:44;S;;;;;;;;"
"WWV 413;07/03/2017;03:28:02;S;;;;;;;;"
"GTV 328;07/03/2017;03:37:29;E;;;;;;;;"
"QVQ 734;07/03/2017;03:38:46;E;;;;;;;;"
"NPK 999;07/03/2017;03:43:33;E;;;;;;;;"
"KEM 227;07/03/2017;03:45:24;S;;;;;;;;"
"EWR 741;07/03/2017;03:58:55;S;;;;;;;;"
"GAQ 872;07/03/2017;04:02:55;S;;;;;;;;"
"EWX 489;07/03/2017;04:03:00;E;;;;;;;;"
"SSI 107;07/03/2017;04:08:53;S;;;;;;;;"
"KNQ 523;07/03/2017;04:11:40;E;;;;;;;;"
"UJZ 532;07/03/2017;04:13:24;E;;;;;;;;"
"GBK 494;07/03/2017;04:17:58;E;;;;;;;;"
"GNB 027;07/03/2017;04:20:40;S;;;;;;;;"
"HHR 417;07/03/2017;04:27:19;S;;;;;;;;"
"QVQ 734;07/03/2017;04:40:13;E;;;;;;;;"
"CLM 339;07/03/2017;04:41:08;E;;;;;;;;"
"IAT 728;07/03/2017;04:47:21;E;;;;;;;;"
"FQC 060;07/03/2017;04:52:50;E;;;;;;;;"
"RHM 529;07/03/2017;04:58:59;E;;;;;;;;"
"EGS 982;07/03/2017;05:00:43;E;;;;;;;;"
"DOT 015;07/03/2017;05:02:16;S;;;;;;;;"
"HXP 178;07/03/2017;05:05:35;S;;;;;;;;"
"TYW 307;07/03/2017;05:05:53;S;;;;;;;;"
"BCG 907;07/03/2017;05:13:21;S;;;;;;;;"
"UJZ 532;07/03/2017;05:19:27;S;;;;;;;;"
"NXX 620;07/03/2017;05:21:26;S;;;;;;;;"
"ACB 078;07/03/2017;05:24:34;S;;;;;;;;"
"JLK 895;07/03/2017;05:24:50;E;;;;;;;;"
"AJI 572;07/03/2017;05:27:01;S;;;;;;;;"
"CYI 688;07/03/2017;05:27:18;E;;;;;;;;"
"IDJ 384;07/03/2017;05:32:46;S;;;;;;;;"
"ANH 847;07/03/2017;05:34:50;S;;;;;;;;"
"XEM 664;07/03/2017;05:34:53;E;;;;;;;;"
"PSL 118;07/03/2017;05:36:55;E;;;;;;;;"
"DOT 015;07/03/2017;05:40:11;S;;;;;;;;"
"ECT 820;07/03/2017;05:41:36;S;;;;;;;;"
"REC 741;07/03/2017;05:42:59;E;;;;;;;;"
"YJV 935;07/03/2017;05:43:49;S;;;;;;;;"
"IFP 939;07/03/2017;05:57:57;S;;;;;;;;"
"YVM 967;07/03/2017;06:02:01;E;;;;;;;;"
"IJH 601;07/03/2017;06:08:39;E;;;;;;;;"
"NWD 971;07/03/2017;06:16:21;S;;;;;;;;"
"UNH 267;07/03/2017;06:29:59;S;;;;;;;;"
"JIG 644;07/03/2017;06:32:57;S;;;;;;;;"
"OTQ 210;07/03/2017;06:37:01;E;;;;;;;;"
"ITG 506;07/03/2017;06:41:32;E;;;;;;;;"
"QRH 325;07/03/2017;06:45:38;E;;;;;;;;"
"EHV 413;07/03/2017;06:46:50;E;;;;;;;;"
"QJY 907;07/03/2017;07:01:52;S;;;;;;;;"
"SEW 411;07/03/2017;07:04:07;E;;;;;;;;"
"NAO 065;07/03/2017;07:05:56;S;;;;;;;;"
"WRK 529;07/03/2017;07:07:03;E;;;;;;;;"
"MHV 871;07/03/2017;07:13:10;S;;;;;;;;"
"WSN 448;07/03/2017;07:13:21;S;;;;;;;;"
"PXX 722;07/03/2017;07:15:42;E;;;;;;;;"
"XPC 742;07/03/2017;07:16:39;S;;;;;;;;"
"KHB 040;07/03/2017;07:18:26;E;;;;;;;;"
"ZYR 828;07/03/2017;07:27:51;S;;;;;;;;"
"QQO 656;07/03/2017;07:34:49;E;;;;;;;;"
"CUV 742;07/03/2017;07:37:51;S;;;;;;;;"
"IZY 219;07/03/2017;07:41:49;E;;;;;;;;"
"BUO 117;07/03/2017;07:45:16;S;;;;;;;;"
"VUC 955;07/03/2017;07:52:26;E;;;;;;;;"
"SQM 287;07/03/2017;07:53:50;E;;;;;;;;"
"WTI 255;07/03/2017;07:57:36;S;;;;;;;;"
"ILH 131;07/03/2017;07:58:48;S;;;;;;;;"
"ZEU 603;07/03/2017;07:59:39;S;;;;;;;;"
"RLN 781;07/03/2017;08:00:48;E;;;;;;;;"
"MLF 427;07/03/2017;08:05:26;S;;;;;;;;"
"KPF 247;07/03/2017;08:12:32;E;;;;;;;;"
"VZS 187;07/03/2017;08:17:26;S;;;;;;;;"
"DIH 817;07/03/2017;08:19:11;E;;;;;;;;"
"IZY 219;07/03/2017;08:19:53;S;;;;;;;;"
"BAO 702;07/03/2017;08:34:00;S;;;;;;;;"
"EOX 619;07/03/2017;08:34:16;S;;;;;;;;"
"LWS 496;07/03/2017;08:41:16;E;;;;;;;;"
"SQX 169;07/03/2017;08:41:24;E;;;;;;;;"
"ADC 800;07/03/2017;08:42:23;S;;;;;;;;"
"JKY 704;07/03/2017;08:48:29;S;;;;;;;;"
"EBO 588;07/03/2017;08:59:41;E;;;;;;;;"
"PZE 998;07/03/2017;09:01:03;E;;;;;;;;"
"VUX 097;07/03/2017;09:05:06;S;;;;;;;;"
"TXP 605;07/03/2017;09:08:08;S;;;;;;;;"
"PTU 150;07/03/2017;09:17:55;E;;;;;;;;"
"QQO 656;07/03/2017;09:25:26;S;;;;;;;;"
"FNN 773;07/03/2017;09:30:18;E;;;;;;;;"
"CLX 359;07/03/2017;09:32:07;E;;;;;;;;"
"FEV 100;07/03/2017;09:40:03;E;;;;;;;;"
"LDW 517;07/03/2017;09:51:08;S;;;;;;;;"
"TTT 037;07/03/2017;09:56:15;S;;;;;;;;"
"ZET 154;07/03/2017;09:59:36;S;;;;;;;;"
"CLX 359;07/03/2017;10:17:35;E;;;;;;;;"
"EFP 040;07/03/2017;10:19:45;E;;;;;;;;"
"IHB 077;07/03/2017;10:21:39;E;;;;;;;;"
"NBZ 670;07/03/2017;10:23:54;S;;;;;;;;"
"VBK 680;07/03/2017;10:27:24;E;;;;;;;;"
"OTX 623;07/03/2017;10:28:36;S;;;;;;;;"
"YAB 763;07/03/2017;10:37:43;E;;;;;;;;"
"ZRN 233;07/03/2017;10:38:45;S;;;;;;;;"
"YSI 198;07/03/2017;10:40:33;S;;;;;;;;"
"GGL 352;07/03/2017;10:53:33;S;;;;;;;;"
"YXJ 408;07/03/2017;10:53:52;E;;;;;;;;"
"PTZ 038;07/03/2017;11:21:15;E;;;;;;;;"
"GSG 254;07/03/2017;11:22:40;E;;;;;;;;"
"UEQ 112;07/03/2017;11:27:49;E;;;;;;;;"
"WGR 671;07/03/2017;11:29:03;S;;;;;;;;"
"KOI 433;07/03/2017;11:41:30;S;;;;;;;;"
"IGU 953;07/03/2017;11:45:54;E;;;;;;;;"
"ENJ 771;07/03/2017;11:49:02;S;;;;;;;;"
"QEO 437;07/03/2017;11:58:47;E;;;;;;;;"
"GJQ 137;07/03/2017;11:59:20;S;;;;;;;;"
"FQD 903;07/03/2017;12:03:50;E;;;;;;;;"
"PRO 190;07/03/2017;12:04:49;S;;;;;;;;"
"GKO 809;07/03/2017;12:06:41;E;;;;;;;;"
"UMM 301;07/03/2017;12:18:25;E;;;;;;;;"
"AXS 970;07/03/2017;12:21:21;E;;;;;;;;"
"KLL 245;07/03/2017;12:21:29;S;;;;;;;;"
"MLV 491;07/03/2017;12:27:42;S;;;;;;;;"
"WRK 529;07/03/2017;12:41:29;S;;;;;;;;"
"HZU 428;07/03/2017;12:43:43;E;;;;;;;;"
"ZMP 088;07/03/2017;12:50:02;E;;;;;;;;"
"FQD 903;07/03/2017;12:56:30;S;;;;;;;;"
"WCY 723;07/03/2017;13:04:24;S;;;;;;;;"
"GKO 809;07/03/2017;13:06:21;E;;;;;;;;"
"NPK 999;07/03/2017;13:09:24;S;;;;;;;;"
"QZS 273;07/03/2017;13:11:54;E;;;;;;;;"
"IJH 601;07/03/2017;13:21:06;S;;;;;;;;"
"LTK 016;07/03/2017;13:21:57;E;;;;;;;;"
"TPC 842;07/03/2017;13:28:22;E;;;;;;;;"
"YCK 843;07/03/2017;13:39:06;E;;;;;;;;"
"KZM 168;07/03/2017;13:46:24;S;;;;;;;;"
"EHK 462;07/03/2017;13:49:05;E;;;;;;;;"
"GSX 351;07/03/2017;13:51:46;E;;;;;;;;"
"WEX 387;07/03/2017;14:03:02;S;;;;;;;;"
"SSA 630;07/03/2017;14:33:26;E;;;;;;;;"
"QNK 254;07/03/2017;14:42:15;E;;;;;;;;"
"KRW 525;07/03/2017;14:44:10;S;;;;;;;;"
"OTQ 210;07/03/2017;14:52:52;S;;;;;;;;"
"PBR 342;07/03/2017;15:02:33;S;;;;;;;;"
"ILH 131;07/03/2017;15:13:29;E;;;;;;;;"
"QFA 664;07/03/2017;15:14:34;S;;;;;;;;"
"OIJ 497;07/03/2017;15:20:29;E;;;;;;;;"
"RRK 808;07/03/2017;15:27:35;E;;;;;;;;"
"ENS 290;07/03/2017;15:31:38;S;;;;;;;;"
"GMG 355;07/03/2017;15:31:40;E;;;;;;;;"
"EHV 413;07/03/2017;15:33:32;S;;;;;;;;"
"QVQ 734;07/03/2017;15:35:14;E;;;;;;;;"
"NWX 770;07/03/2017;15:41:13;E;;;;;;;;"
"QFA 664;07/03/2017;15:43:50;E;;;;;;;;"
"PEL 769;07/03/2017;15:45:35;S;;;;;;;;"
"EIW 298;07/03/2017;15:50:13;E;;;;;;;;"
"TYT 696;07/03/2017;15:53:56;E;;;;;;;;"
"ANQ 040;07/03/2017;15:56:11;E;;;;;;;;"
"JXL 440;07/03/2017;15:57:45;E;;;;;;;;"
"HQY 871;07/03/2017;16:05:49;E;;;;;;;;"
"IYV 850;07/03/2017;16:10:55;S;;;;;;;;"
"TYT 696;07/03/2017;16:10:59;S;;;;;;;;"
"QVQ 734;07/03/2017;16:14:30;S;;;;;;;;"
"EOO 349;07/03/2017;16:17:39;E;;;;;;;;"
